I (4295948) GATEWAY: Enviando START (Armando sensores)...

============================================
  >>> SENSOR 1 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================


============================================
  >>> SENSOR 2 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================


============================================
  >>> SENSOR 3 CONECTADO Y ARMADO <<< 
  (La grabacion empezara en 2 segundos...)
============================================

3,4,920,0.045,0.914,-0.055
3,4,930,0.069,0.964,-0.101
3,4,940,0.108,1.028,-0.139
3,4,950,0.149,1.088,-0.172
3,4,960,0.297,1.142,-0.246
3,4,970,0.339,1.105,-0.270
3,4,980,0.338,1.055,-0.270
3,4,990,0.315,1.014,-0.283
1,4,800,-0.065,0.812,-0.388
1,4,810,-0.078,0.836,-0.381
1,4,820,-0.104,0.856,-0.376
1,4,830,-0.134,0.889,-0.373
1,4,840,-0.158,0.914,-0.357
1,4,850,-0.163,0.949,-0.337
1,4,860,-0.155,0.979,-0.333
1,4,870,-0.133,0.972,-0.336
1,4,880,-0.123,0.972,-0.359
1,4,890,-0.112,0.973,-0.359
1,4,900,-0.104,0.960,-0.346
1,4,910,-0.093,0.953,-0.346
1,4,920,-0.097,0.955,-0.339
1,4,930,-0.108,0.948,-0.336
1,4,940,-0.111,0.933,-0.338
1,4,950,-0.114,0.909,-0.341
1,4,960,-0.122,0.889,-0.336
1,4,970,-0.107,0.875,-0.328
1,4,980,-0.104,0.875,-0.329
1,4,990,-0.094,0.874,-0.323
3,5,1000,0.295,0.976,-0.317
3,5,1010,0.244,0.949,-0.356
3,5,1020,0.187,0.929,-0.357
3,5,1030,0.150,0.920,-0.339
3,5,1040,0.144,0.911,-0.335
3,5,1050,0.153,0.893,-0.348
3,5,1060,0.157,0.872,-0.344
3,5,1070,0.150,0.848,-0.304
3,5,1080,0.125,0.788,-0.196
3,5,1090,0.103,0.748,-0.157
3,5,1100,0.072,0.715,-0.128
3,5,1110,0.042,0.696,-0.106
3,5,1120,0.007,0.703,-0.090
3,5,1130,-0.018,0.772,-0.074
3,5,1140,-0.025,0.875,-0.020
3,5,1150,-0.033,0.947,0.063
3,5,1160,-0.029,1.016,0.090
3,5,1170,-0.019,1.075,0.075
3,5,1180,0.011,1.121,0.049
3,5,1190,0.038,1.163,0.022
1,5,1000,-0.102,0.876,-0.312
1,5,1010,-0.093,0.877,-0.305
1,5,1020,-0.098,0.882,-0.296
1,5,1030,-0.108,0.886,-0.289
1,5,1040,-0.112,0.886,-0.283
1,5,1050,-0.111,0.886,-0.286
1,5,1060,-0.120,0.902,-0.291
1,5,1070,-0.118,0.917,-0.284
1,5,1080,-0.114,0.927,-0.281
1,5,1090,-0.113,0.951,-0.268
1,5,1100,-0.105,0.955,-0.259
1,5,1110,-0.107,0.952,-0.255
1,5,1120,-0.114,0.952,-0.255
1,5,1130,-0.111,0.947,-0.246
1,5,1140,-0.121,0.958,-0.256
1,5,1150,-0.122,0.967,-0.240
1,5,1160,-0.134,0.976,-0.225
1,5,1170,-0.143,0.987,-0.209
1,5,1180,-0.141,0.992,-0.191
1,5,1190,-0.150,0.987,-0.174
3,6,1200,0.062,1.174,0.005
3,6,1210,0.122,1.223,0.001
3,6,1220,0.117,1.209,0.038
3,6,1230,0.091,1.175,0.036
3,6,1240,0.068,1.130,0.005
3,6,1250,0.041,1.094,-0.036
3,6,1260,0.013,1.058,-0.040
3,6,1270,-0.001,1.033,-0.028
3,6,1280,-0.014,1.007,-0.027
3,6,1290,-0.021,0.976,-0.028
3,6,1300,-0.021,0.943,-0.033
3,6,1310,-0.014,0.916,-0.027
3,6,1320,-0.008,0.896,-0.021
3,6,1330,0.000,0.867,0.009
3,6,1340,-0.004,0.864,0.017
3,6,1350,-0.006,0.860,0.024
3,6,1360,-0.009,0.865,0.023
3,6,1370,-0.003,0.873,0.010
3,6,1380,0.009,0.874,-0.034
3,6,1390,0.051,0.902,-0.067
1,6,1200,-0.145,0.976,-0.171
1,6,1210,-0.140,0.963,-0.184
1,6,1220,-0.149,0.970,-0.172
1,6,1230,-0.156,0.965,-0.158
1,6,1240,-0.157,0.965,-0.152
1,6,1250,-0.160,0.962,-0.140
1,6,1260,-0.159,0.961,-0.134
1,6,1270,-0.157,0.958,-0.122
1,6,1280,-0.142,0.953,-0.109
1,6,1290,-0.142,0.956,-0.111
1,6,1300,-0.141,0.961,-0.116
1,6,1310,-0.139,0.963,-0.114
1,6,1320,-0.125,0.968,-0.113
1,6,1330,-0.096,0.951,-0.115
1,6,1340,-0.087,0.934,-0.120
1,6,1350,-0.084,0.912,-0.137
1,6,1360,-0.085,0.891,-0.149
1,6,1370,-0.099,0.886,-0.150
1,6,1380,-0.092,0.893,-0.155
1,6,1390,-0.081,0.902,-0.134
3,7,1400,0.118,0.942,-0.112
3,7,1410,0.166,0.967,-0.159
3,7,1420,0.226,1.021,-0.186
3,7,1430,0.282,1.088,-0.191
3,7,1440,0.326,1.110,-0.187
3,7,1450,0.344,1.096,-0.188
3,7,1460,0.268,1.023,-0.214
3,7,1470,0.220,1.004,-0.226
3,7,1480,0.166,1.003,-0.239
3,7,1490,0.122,1.007,-0.244
3,7,1500,0.092,1.006,-0.231
3,7,1510,0.089,0.997,-0.216
3,7,1520,0.084,0.977,-0.214
3,7,1530,0.069,0.939,-0.201
3,7,1540,0.044,0.899,-0.186
